Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
27,Un Coco,Bad Bunny,3.0,92205.0,spotify,20-05-2022/26-05-2022,Bolivia
28,Aguacero,Bad Bunny,3.0,91775.0,spotify,20-05-2022/26-05-2022,Bolivia
29,Neverita,Bad Bunny,3.0,90653.0,spotify,20-05-2022/26-05-2022,Bolivia
30,Plan A,Paulo Londra,10.0,88533.0,spotify,20-05-2022/26-05-2022,Bolivia
1,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,2119463.0,spotify,20-05-2022/26-05-2022,Colombia
2,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,2008432.0,spotify,20-05-2022/26-05-2022,Colombia
3,PROVENZA,KAROL G,5.0,1482276.0,spotify,20-05-2022/26-05-2022,Colombia
4,Moscow Mule,Bad Bunny,3.0,1439255.0,spotify,20-05-2022/26-05-2022,Colombia
5,Tití Me Preguntó,Bad Bunny,3.0,1404225.0,spotify,20-05-2022/26-05-2022,Colombia
6,Party,"Bad Bunny, Rauw Alejandro",3.0,1074824.0,spotify,20-05-2022/26-05-2022,Colombia
7,Efecto,Bad Bunny,3.0,1069844.0,spotify,20-05-2022/26-05-2022,Colombia
8,Tarot,"Bad Bunny, Jhay Cortez",3.0,892827.0,spotify,20-05-2022/26-05-2022,Colombia
9,Jordan,Ryan Castro,55.0,835437.0,spotify,20-05-2022/26-05-2022,Colombia
10,Un Ratito,Bad Bunny,3.0,827797.0,spotify,20-05-2022/26-05-2022,Colombia
11,Después de la Playa,Bad Bunny,3.0,782871.0,spotify,20-05-2022/26-05-2022,Colombia
12,Me Fui de Vacaciones,Bad Bunny,3.0,758406.0,spotify,20-05-2022/26-05-2022,Colombia
13,Mojando Asientos (feat. Feid),"Maluma, Feid",9.0,756475.0,spotify,20-05-2022/26-05-2022,Colombia
14,Instagram,Blessd,7.0,744961.0,spotify,20-05-2022/26-05-2022,Colombia
15,Tendencia Global,"Blessd, Myke Towers, Ovy On The Drums",10.0,738291.0,spotify,20-05-2022/26-05-2022,Colombia
16,Yo No Soy Celoso,Bad Bunny,3.0,720724.0,spotify,20-05-2022/26-05-2022,Colombia
17,Pantysito,"Alejo, Feid, ROBI",10.0,716371.0,spotify,20-05-2022/26-05-2022,Colombia
18,Medallo,"Blessd, Justin Quiles, Lenny Tavárez",31.0,707392.0,spotify,20-05-2022/26-05-2022,Colombia
19,MAMIII,"Becky G, KAROL G",15.0,704918.0,spotify,20-05-2022/26-05-2022,Colombia
20,Monastery,"Ryan Castro, Feid",28.0,689972.0,spotify,20-05-2022/26-05-2022,Colombia
21,Andrea,"Bad Bunny, Buscabulla",3.0,682429.0,spotify,20-05-2022/26-05-2022,Colombia
22,La Corriente,"Bad Bunny, Tony Dize",3.0,673921.0,spotify,20-05-2022/26-05-2022,Colombia
23,Un Coco,Bad Bunny,3.0,667407.0,spotify,20-05-2022/26-05-2022,Colombia
24,As It Was,Harry Styles,8.0,655994.0,spotify,20-05-2022/26-05-2022,Colombia
25,Aguacero,Bad Bunny,3.0,637368.0,spotify,20-05-2022/26-05-2022,Colombia
26,Una Noche en Medellín,Cris Mj,14.0,634842.0,spotify,20-05-2022/26-05-2022,Colombia
27,Desesperados,"Rauw Alejandro, Chencho Corleone",24.0,627382.0,spotify,20-05-2022/26-05-2022,Colombia
28,Castigo,Feid,2.0,619135.0,spotify,20-05-2022/26-05-2022,Colombia
29,Neverita,Bad Bunny,3.0,616178.0,spotify,20-05-2022/26-05-2022,Colombia
30,Un Verano Sin Ti,Bad Bunny,3.0,577880.0,spotify,20-05-2022/26-05-2022,Colombia
1,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,3351429.0,spotify,20-05-2022/26-05-2022,Chile
2,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,2983406.0,spotify,20-05-2022/26-05-2022,Chile
3,Moscow Mule,Bad Bunny,3.0,2810315.0,spotify,20-05-2022/26-05-2022,Chile
4,ULTRA SOLO,"Polimá Westcoast, Pailita",15.0,2732016.0,spotify,20-05-2022/26-05-2022,Chile
5,Me Arrepentí,"Ak4:20, Pailita, Cris Mj",9.0,2626087.0,spotify,20-05-2022/26-05-2022,Chile
6,Cochinae,"Julianno Sosa, King Savagge",5.0,2469655.0,spotify,20-05-2022/26-05-2022,Chile
7,Party,"Bad Bunny, Rauw Alejandro",3.0,2282814.0,spotify,20-05-2022/26-05-2022,Chile
8,Una Noche en Medellín,Cris Mj,18.0,1922414.0,spotify,20-05-2022/26-05-2022,Chile
9,PROVENZA,KAROL G,5.0,1871224.0,spotify,20-05-2022/26-05-2022,Chile
10,Tití Me Preguntó,Bad Bunny,3.0,1840259.0,spotify,20-05-2022/26-05-2022,Chile
11,Dime Tú,"Pailita, Cris Mj, Big Cvyu",15.0,1636918.0,spotify,20-05-2022/26-05-2022,Chile
12,La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",1.0,1610224.0,spotify,20-05-2022/26-05-2022,Chile
13,Efecto,Bad Bunny,3.0,1576323.0,spotify,20-05-2022/26-05-2022,Chile
14,Un Ratito,Bad Bunny,3.0,1544490.0,spotify,20-05-2022/26-05-2022,Chile
15,Tarot,"Bad Bunny, Jhay Cortez",3.0,1535206.0,spotify,20-05-2022/26-05-2022,Chile
16,Bailando,"El Jordan 23, Standly",15.0,1467443.0,spotify,20-05-2022/26-05-2022,Chile
17,SEXTIME,"Polimá Westcoast, Young Cister, Cris Mj",8.0,1444408.0,spotify,20-05-2022/26-05-2022,Chile
18,As It Was,Harry Styles,8.0,1311896.0,spotify,20-05-2022/26-05-2022,Chile
19,La Corriente,"Bad Bunny, Tony Dize",3.0,1280203.0,spotify,20-05-2022/26-05-2022,Chile
20,Después de la Playa,Bad Bunny,3.0,1236036.0,spotify,20-05-2022/26-05-2022,Chile
21,X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",9.0,1182263.0,spotify,20-05-2022/26-05-2022,Chile
22,Desesperados,"Rauw Alejandro, Chencho Corleone",24.0,1142097.0,spotify,20-05-2022/26-05-2022,Chile
23,Me Fui de Vacaciones,Bad Bunny,3.0,1141995.0,spotify,20-05-2022/26-05-2022,Chile
24,MAMIII,"Becky G, KAROL G",15.0,1079098.0,spotify,20-05-2022/26-05-2022,Chile
25,Yo No Soy Celoso,Bad Bunny,3.0,1067052.0,spotify,20-05-2022/26-05-2022,Chile
26,Yo Quiero,"Nio Garcia, Pailita",3.0,1061449.0,spotify,20-05-2022/26-05-2022,Chile
27,Pégate,Standly,21.0,1040101.0,spotify,20-05-2022/26-05-2022,Chile
28,Par de Veces,"Pailita, El Casti",8.0,1009935.0,spotify,20-05-2022/26-05-2022,Chile
29,Neverita,Bad Bunny,3.0,986498.0,spotify,20-05-2022/26-05-2022,Chile
30,En El Jacuzzi,Nickoog Clk,7.0,925117.0,spotify,20-05-2022/26-05-2022,Chile
1,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3.0,10845542.0,spotify,20-05-2022/26-05-2022,Mexico
2,Me Porto Bonito,"Bad Bunny, Chencho Corleone",3.0,10715492.0,spotify,20-05-2022/26-05-2022,Mexico
3,Party,"Bad Bunny, Rauw Alejandro",3.0,8768135.0,spotify,20-05-2022/26-05-2022,Mexico
4,Tití Me Preguntó,Bad Bunny,3.0,8471866.0,spotify,20-05-2022/26-05-2022,Mexico
5,Moscow Mule,Bad Bunny,3.0,7317554.0,spotify,20-05-2022/26-05-2022,Mexico
6,PROVENZA,KAROL G,5.0,6537085.0,spotify,20-05-2022/26-05-2022,Mexico
7,As It Was,Harry Styles,8.0,5774216.0,spotify,20-05-2022/26-05-2022,Mexico
8,Efecto,Bad Bunny,3.0,5323380.0,spotify,20-05-2022/26-05-2022,Mexico
9,Tarot,"Bad Bunny, Jhay Cortez",3.0,4682570.0,spotify,20-05-2022/26-05-2022,Mexico
10,Después de la Playa,Bad Bunny,3.0,4501114.0,spotify,20-05-2022/26-05-2022,Mexico
11,Un Ratito,Bad Bunny,3.0,4243699.0,spotify,20-05-2022/26-05-2022,Mexico
12,Andrea,"Bad Bunny, Buscabulla",3.0,4159705.0,spotify,20-05-2022/26-05-2022,Mexico
13,Una Noche en Medellín,Cris Mj,14.0,4044164.0,spotify,20-05-2022/26-05-2022,Mexico
14,Me Fui de Vacaciones,Bad Bunny,3.0,4043225.0,spotify,20-05-2022/26-05-2022,Mexico
15,En El Radio Un Cochinero,Victor Cibrian,2.0,4024685.0,spotify,20-05-2022/26-05-2022,Mexico
16,Neverita,Bad Bunny,3.0,3810452.0,spotify,20-05-2022/26-05-2022,Mexico
17,Yo No Soy Celoso,Bad Bunny,3.0,3732882.0,spotify,20-05-2022/26-05-2022,Mexico
18,Fuera del mercado,Danny Ocean,13.0,3723142.0,spotify,20-05-2022/26-05-2022,Mexico
19,Los Botones Azules,"Junior H, Luis R Conriquez",12.0,3629028.0,spotify,20-05-2022/26-05-2022,Mexico
20,Jordan,Ryan Castro,15.0,3584296.0,spotify,20-05-2022/26-05-2022,Mexico
21,JGL,"La Adictiva Banda San José de Mesillas, Luis R Conriquez",10.0,3490753.0,spotify,20-05-2022/26-05-2022,Mexico
22,Chale,Eden Muñoz,14.0,3479717.0,spotify,20-05-2022/26-05-2022,Mexico
